frame 	 x 	 y 
409 	 1549 	 621 
410 	 1553 	 621 
411 	 1558 	 621 
412 	 1562 	 621 
413 	 1567 	 621 
414 	 1571 	 621 
415 	 1575 	 621 
416 	 1580 	 621 
417 	 1585 	 621 
418 	 1589 	 621 
419 	 1593 	 621 
420 	 1598 	 621 
421 	 1602 	 621 
422 	 1607 	 621 
423 	 1611 	 621 
424 	 1615 	 621 
425 	 1620 	 621 
426 	 1624 	 621 
427 	 1629 	 621 
428 	 1633 	 621 
429 	 1637 	 621 
430 	 1642 	 621 
431 	 1646 	 621 
432 	 1651 	 621 
433 	 1656 	 621 
434 	 1660 	 621 
435 	 1664 	 621 
436 	 1669 	 621 
437 	 1673 	 621 
438 	 1678 	 621 
439 	 1682 	 621 
440 	 1686 	 621 
441 	 1690 	 621 
442 	 1695 	 621 
443 	 1699 	 621 
444 	 1704 	 621 
445 	 1708 	 621 
446 	 1712 	 621 
447 	 1717 	 621 
448 	 1721 	 621 
449 	 1726 	 621 
450 	 1730 	 621 
451 	 1734 	 621 
452 	 1738 	 621 
453 	 1742 	 621 
454 	 1747 	 621 
455 	 1751 	 621 
456 	 1755 	 621 
457 	 1759 	 621 
458 	 1764 	 621 
459 	 1768 	 621 
460 	 1772 	 621 
461 	 1777 	 621 
462 	 1781 	 621 
463 	 1785 	 621 
464 	 1789 	 621 
465 	 1793 	 621 
466 	 1798 	 621 
467 	 1802 	 621 
468 	 1806 	 621 
469 	 1810 	 621 
470 	 1814 	 621 
471 	 1818 	 621 
472 	 1823 	 621 
473 	 1827 	 621 
474 	 1831 	 621 
475 	 1835 	 621 
476 	 1839 	 621 
477 	 1843 	 621 
478 	 1847 	 621 
479 	 1852 	 621 
480 	 1856 	 621 
481 	 1860 	 621 
482 	 1864 	 621 
483 	 1868 	 621 
484 	 1872 	 621 
485 	 1876 	 621 
486 	 1881 	 621 
487 	 1885 	 621 
488 	 1889 	 621 
489 	 1892 	 621 
490 	 1894 	 621 
491 	 1896 	 621 
